"","x"
"0",0.00564291929154585
"1",0.0198032765883124
"2",0.00330310831325143
"3",0.00688839350337463
"7",0.00267878005176055
"8",0.0035577204459335
"9",0.00730766617836735
"10",0.00164472589348394
"14",0.000170858600003568
"15",7.90956511602763e-05
"16",2.04494317820416e-05
"17",1.31163433346352e-05
"21",0.00102702416223659
"22",0.00470699570788325
"23",0.00208682810166704
"24",0.0126405132954316
"28",0.00189909542444738
"29",0.00178138765208829
"30",0.00122891757314978
"31",0.00335350505752126
"35",0.000631163778138179
"36",0.00596245155318827
"37",0.00513621602703316
"38",0.000837030533335578
"42",0.000472875602074659
"43",9.88369270614785e-05
"44",0.00183697494494574
"45",0.00849913403810893
"49",0.000491140750617742
"50",7.90206933496144e-05
"51",0.000781981049012137
"52",0.00298632373937783
"56",0.00403833421810131
"57",5.87931159988859e-05
"58",0.000845083707590669
"59",0.0056971882102638
"63",0.00619889563110314
"64",0.00590185040108316
"65",0.00638073140497224
"66",0.00879616532476904
"70",0.00391860504025907
"71",0.00188031609980334
"72",0.00599654383564538
"73",0.00406658932603957
"77",0.00713255222440583
"78",0.00137484006335272
"79",0.00368972230679826
"80",0.00215383659889118
"81",0.00327139432113056
"82",0.0235303487538945
"83",0.000404990365306307
"84",0.00165880872479832
"85",4.38030391972647e-05
"86",0.00158489163129259
"87",1.30120782993928e-06
"88",0.000408472424872844
"89",0.0106704114466945
"90",0.00949495274251513
"91",0.0812056628032721
"92",0.000242180361187198
"93",0.00195391199102735
"94",0.000126800879163623
"95",0.0040392338213012
"96",0.000116694333790283
"97",0.00138170222787926
"101",0.0037926093079473
"102",0.0161068613392852
"103",0.0374260396906315
"104",0.0141849582482604
"109",0.121420768914945
"110",0.48231821078106
