Field of View,Cell ID,X,Y,Region,louvain,celltype,cellname
4,37,360.99,1112.3,Cortex,10,Astrocytes,4_37
4,38,1457.5,1133.4,Cortex,10,Astrocytes,4_38
4,39,723.69,1137.1,Cortex,2,Endothelial,4_39
4,40,548.96,1178.0,Cortex,2,Endothelial,4_40
4,41,401.67,1186.7,Cortex,4,Excitatory neuron,4_41
4,42,1751.0,1181.5,Cortex,5,Excitatory neuron,4_42
4,43,649.14,1187.4,Cortex,4,Excitatory neuron,4_43
4,44,590.47,1230.9,Cortex,4,Excitatory neuron,4_44
4,45,1389.3,1260.8,Cortex,11,Excitatory neuron,4_45
4,46,704.43,1265.8,Cortex,4,Excitatory neuron,4_46
4,47,650.71,1274.1,Cortex,4,Excitatory neuron,4_47
4,48,433.74,1281.7,Cortex,4,Excitatory neuron,4_48
4,49,357.85,1335.5,Cortex,5,Excitatory neuron,4_49
4,50,1526.8,1335.1,Cortex,5,Excitatory neuron,4_50
4,51,748.14,1349.5,Cortex,20,Microglia,4_51
4,52,611.71,1394.1,Cortex,4,Excitatory neuron,4_52
4,53,1659.9,1433.7,Cortex,4,Excitatory neuron,4_53
4,54,1058.5,1443.8,Cortex,4,Excitatory neuron,4_54
4,55,1473.4,1441.7,Cortex,4,Excitatory neuron,4_55
4,56,1352.4,1463.7,Cortex,4,Excitatory neuron,4_56
4,57,1212.3,1473.5,Cortex,13,Excitatory neuron,4_57
4,58,566.57,1489.8,Cortex,6,Excitatory neuron,4_58
4,59,458.62,1505.2,Cortex,18,Excitatory neuron,4_59
4,60,1568.4,1597.5,Cortex,2,Endothelial,4_60
4,61,1077.3,1600.3,Cortex,11,Excitatory neuron,4_61
4,62,1467.0,1663.0,Cortex,2,Endothelial,4_62
4,63,1197.6,1671.7,Cortex,18,Excitatory neuron,4_63
4,64,874.41,380.91,Cortex,25,Oligo Precursor,4_64
4,65,937.71,418.1,Cortex,10,Astrocytes,4_65
4,66,516.36,460.09,Cortex,16,Oligodendrocytes,4_66
4,67,501.54,549.3,Cortex,11,Excitatory neuron,4_67
4,68,1174.3,549.17,Cortex,16,Oligodendrocytes,4_68
4,69,1237.7,565.2,Cortex,10,Astrocytes,4_69
4,70,1055.9,578.53,Cortex,5,Excitatory neuron,4_70
4,71,806.82,595.74,Cortex,11,Excitatory neuron,4_71
4,72,1270.6,676.58,Cortex,11,Excitatory neuron,4_72
4,73,1335.0,809.99,Cortex,5,Excitatory neuron,4_73
4,74,1562.7,1098.3,Cortex,7,Interneuron,4_74
4,75,1059.2,1135.8,Cortex,10,Astrocytes,4_75
4,76,932.93,1213.5,Cortex,4,Excitatory neuron,4_76
4,77,1544.0,1241.6,Cortex,4,Excitatory neuron,4_77
4,78,1081.0,1280.7,Cortex,22,Ependymal,4_78
4,79,847.99,1286.6,Cortex,11,Excitatory neuron,4_79
4,80,639.03,1320.0,Cortex,12,Neuroblasts,4_80
4,81,1591.6,1402.9,Cortex,4,Excitatory neuron,4_81
4,82,1749.5,1407.3,Cortex,5,Excitatory neuron,4_82
4,83,1638.8,1512.5,Cortex,10,Astrocytes,4_83
4,84,890.9,1517.0,Cortex,25,Oligo Precursor,4_84
4,85,759.11,1549.9,Cortex,25,Oligo Precursor,4_85
4,86,650.84,1561.3,Cortex,5,Excitatory neuron,4_86
4,87,1727.9,1546.3,Cortex,7,Interneuron,4_87
4,88,872.21,1595.3,Cortex,16,Oligodendrocytes,4_88
4,89,767.46,1663.4,Cortex,5,Excitatory neuron,4_89
4,90,401.07,396.26,Cortex,10,Astrocytes,4_90
4,91,258.56,955.12,Cortex,11,Excitatory neuron,4_91
4,92,230.15,1139.9,Cortex,5,Excitatory neuron,4_92
4,93,1957.4,1157.5,Cortex,5,Excitatory neuron,4_93
4,94,197.26,1435.4,Cortex,19,Astrocytes,4_94
4,95,435.9,1670.1,Cortex,5,Excitatory neuron,4_95
4,96,471.56,1766.3,Cortex,5,Excitatory neuron,4_96
4,97,639.25,1774.4,Cortex,4,Excitatory neuron,4_97
4,98,1129.9,1821.6,Cortex,4,Excitatory neuron,4_98
4,99,296.98,1871.0,Cortex,11,Excitatory neuron,4_99
4,100,456.62,1881.5,Cortex,11,Excitatory neuron,4_100
4,101,1055.6,1903.3,Cortex,5,Excitatory neuron,4_101
